2019-06-11 21:59:39: Turning Off Copy Attributes, as one of file systems does not support it
2019-06-11 21:59:39: Turning Off Copy Symbolic Links, as one of file systems does not support it. You may want to consider using Job -> Options -> Advanced -> Links -> Drill Down, if you need to copy folder to which the link points
2019-06-11 21:59:40: -- 分析开始 User Command
2019-06-11 22:00:13: 变更：279， 冲突：0， 复制时间：0， 复制状态：0， 错误： 0, All: 405
2019-06-11 22:00:13: Left to Right: Copy File: 279 
2019-06-11 22:00:13: -- 分析已结束。历时 00:00:34, 速度： 11 文件/秒
2019-06-11 22:00:13: 
2019-06-11 22:00:22: == 同步开始由 User Command
2019-06-11 22:00:53: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/categories/生活/index.html' -> 'ftp://vhost521.cloudvhost.cn/WEB/categories/生活/index.html' (17,433)
2019-06-11 22:00:54: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/categories/网络工具/index.html' -> 'ftp://vhost521.cloudvhost.cn/WEB/categories/网络工具/index.html' (14,313)
2019-06-11 22:00:55: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/content.json' -> 'ftp://vhost521.cloudvhost.cn/WEB/content.json' (211,442)
2019-06-11 22:00:56: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/fontawesome/fontawesome-webfont.eot' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/fontawesome/fontawesome-webfont.eot' (165,742)
2019-06-11 22:00:57: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/fontawesome/fontawesome-webfont.svg' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/fontawesome/fontawesome-webfont.svg' (444,379)
2019-06-11 22:00:58: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/fontawesome/fontawesome-webfont.ttf' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/fontawesome/fontawesome-webfont.ttf' (165,548)
2019-06-11 22:00:58: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/fontawesome/fontawesome-webfont.woff' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/fontawesome/fontawesome-webfont.woff' (98,024)
2019-06-11 22:00:59: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/fontawesome/fontawesome-webfont.woff2' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/fontawesome/fontawesome-webfont.woff2' (77,160)
2019-06-11 22:01:00: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/fontawesome/FontAwesome.otf' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/fontawesome/FontAwesome.otf' (134,808)
2019-06-11 22:01:01: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Bold.eot' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Bold.eot' (20,966)
